symbol,revenuePerShare,trailingPE,earningsQuarterlyGrowth,previousClose,open,dayLow,dayHigh,volume,trailingEps,pegRatio,ebitda,totalDebt,totalRevenue,debtToEquity,revenuePerShare.1,earningsGrowth,revenueGrowth
INFY.NS,4.481,25.573729,-0.084,1554.7,1521,1498.2,1528.9,14671426,59,2.96,4249999872,1051000000,18552000512,10.871,4.481,-0.068,0.001
TCS.NS,653.036,31.84772,0.02,3972.95,3897,3855,3938,5851619,122.8,4.03,6.1272E+11,75479998464,2388180074496.0,8.297,653.036,0.022,0.04
WIPRO.NS,169.494,22.729818,-0.118,500.45,489.25,479.55,490.75,14320951,21.43,5.87,1.65258E+11,1.79136E+11,9.07423E+11,24.507,169.494,-0.074,-0.044
HCLTECH.NS,4.829,26.882656,0.05,1595.8,1560,1508.2,1571.45,7468632,57.95,3.75,2699000064,646000000,13075000320,7.962,4.829,0.056,0.053
DMART.NS,749.054,114.93983,0.171,4163.1,4159.8,4151.15,4330.5,921402,37.39,5.18,37884751872,6303799808,4.86564E+11,3.616,749.054,0.173,0.173
ITC.NS,56.743,26.102314,0.066,421.25,421.25,421.25,429.65,38855561,16.42,3.25,2.622E+11,2840600064,7.05932E+11,0.408,56.743,0.057,0.018
LT.NS,1546.819,39.681915,0.155,3560,3546.2,3546.2,3647.3,3020256,91.17,1.44,2.67275E+11,1221087461376.0,2161507434496.0,130.668,1546.819,0.18,0.187
MARUTI.NS,4461.15,31.05621,0.341,11908.15,11890.05,11890.05,12427.3,1061891,397.27,1.23,1.4778E+11,3924999936,1347618996224.0,0.597,4461.15,0.288,0.153
BAJAJFINSV.NS,631.981,32.787075,0.211,1602.6,1593,1583.4,1610,1569716,48.42,1.78,3.73406E+11,1967311945728.0,1005218103296.0,231.603,631.981,0.196,0.336
TITAN.NS,551.524,95.23895,0.165,3627.55,3627.55,3621.25,3726.9,1281067,38.92,5.19,48017498112,1.4254E+11,4.895E+11,114.352,551.524,0.169,0.22
MARUTI.BO,4461.15,31.05556,0.341,11913.8,11900.95,11900.45,12423.45,26854,397.23,1.48,1.4778E+11,3924999936,1347618996224.0,0.597,4461.15,0.288,0.153
SUNPHARMA.NS,197.739,43.28491,0.165,1565.2,1568.9,1566.1,1621,4941192,37.17,0.83,1.28148E+11,19282300928,4.74446E+11,3.051,197.739,0.167,0.101
ONGC.NS,467.185,7.898289,-0.099,262.95,262.95,258.45,265.25,13024864,33.33,-4.51,1038580973568.0,1434962362368.0,5878298705920.0,42.656,467.185,-0.099,-0.022
TECHM.NS,598.028,39.8438,-0.606,1282.75,1258.5,1236.1,1279.9,2990639,31.69,4.56,54702252032,26140999680,5.28424E+11,9.733,598.028,-0.607,-0.046
ADANIPORTS.NS,118.536,38.3139,0.679,1262.45,1262.45,1255.05,1289.1,3075733,33.45,1.03,1.47538E+11,5.00603E+11,2.56109E+11,99.596,118.536,0.678,0.446
POWERGRID.NS,49.588,15.875072,0.105,273.75,273.75,271.35,278.25,22096058,17.37,0.65,4.19217E+11,1234316296192.0,4.61287E+11,142.063,49.588,0.104,0.026
