symbol,revenuePerShare,trailingPE,earningsQuarterlyGrowth,previousClose,open,dayLow,dayHigh,volume,trailingEps,pegRatio,ebitda,totalDebt,totalRevenue,debtToEquity,revenuePerShare.1,earningsGrowth,revenueGrowth
RELIANCE.BO,1296.823,28.012129,0.093,2901.3,2897.05,2895.35,2920,562484,103.88,7.752124646,1.50E+12,3.17E+12,8.77E+12,36.1,1296.823,0.093,0.036
RELIANCE.NS,1296.823,28.010878,0.093,2901.95,2899.95,2894.7,2920,9763420,103.89,7.752124646,1.50E+12,3.17E+12,8.77E+12,36.1,1296.823,0.093,0.036
HDFCBANK.BO,293.74,16.260424,0.359,1445.1,1437.3,1437.3,1450.7,783356,88.74,7.752124646,12331239082,8.00E+12,1.93E+12,118.1582281,293.74,-0.001,1.211
HINDUNILVR.NS,263.412,51.28523,0.014,2242.35,2239.05,2232.05,2266,3507581,44,7.752124646,1.42E+11,12720000000,6.19E+11,2.515,263.412,0.014,-0.002
ICICIBANK.NS,197.399,18.315136,0.257,1081.8,1081.15,1078.7,1093.7,17212189,59.53,1.03,12331239082,2.01E+12,1.38E+12,118.1582281,197.399,0.253,0.204
HINDUNILVR.BO,263.412,51.278408,0.014,2242.6,2241.95,2230.85,2265.35,265737,44,7.752124646,1.42E+11,12720000000,6.19E+11,2.515,263.412,0.014,-0.002
INFY.NS,4.481,25.573729,-0.084,1554.7,1521,1498.2,1528.9,14671426,59,2.96,4249999872,1051000000,18552000512,10.871,4.481,-0.068,0.001
TCS.NS,653.036,31.84772,0.02,3972.95,3897,3855,3938,5851619,122.8,4.03,6.13E+11,75479998464,2.39E+12,8.297,653.036,0.022,0.04
HDFCBANK.NS,293.74,16.259296,0.359,1445.75,1441,1437.75,1450.75,22986502,88.74,7.752124646,12331239082,8.00E+12,1.93E+12,118.1582281,293.74,-0.001,1.211
TCS.BO,653.036,31.84748,0.02,3974.05,3899,3856,3938.4,275926,122.87,7.752124646,6.13E+11,75479998464,2.39E+12,8.297,653.036,0.022,0.04
HDFC.NS,628.471,19.15983,0.18,2724.3,2755.8,2710.6,2777.65,42365041,142.59,1.65,12331239082,4.36E+12,1.14E+12,118.1582281,628.471,0.168,0.217
BAJFINANCE.NS,497.35,29.850765,0.224,6715.75,6705,6686.3,6803,1125038,226.49,7.752124646,12331239082,2.02E+12,3.02E+11,336.941,497.35,0.209,0.221
SBIN.NS,331.701,10.449203,-0.285,744.3,743.85,741.4,748.8,15529602,71.46,0.49,12331239082,5.48E+12,2.96E+12,118.1582281,331.701,-0.285,0.166
WIPRO.NS,169.494,22.729818,-0.118,500.45,489.25,479.55,490.75,14320951,21.43,5.87,1.65E+11,1.79E+11,9.07E+11,24.507,169.494,-0.074,-0.044
BHARTIARTL.NS,261.056,85.48409,0.538,1220.8,1226.95,1222,1245,7839987,14.46,7.752124646,6.95E+11,2.18E+12,1.48E+12,211.001,261.056,0.5,0.059
KOTAKBANK.NS,325.645,20.283169,0.068,1772.15,1769.9,1765,1782.5,7060497,87.58,7.752124646,12331239082,6.15E+11,6.47E+11,118.1582281,325.645,0.067,0.2
HCLTECH.NS,4.829,26.882656,0.05,1595.8,1560,1508.2,1571.45,7468632,57.95,3.75,2699000064,646000000,13075000320,7.962,4.829,0.056,0.053
HDFC.BO,628.471,19.148136,0.18,2729.95,2750.4,2711.95,2777.5,438405,142.57,7.752124646,12331239082,4.36E+12,1.14E+12,118.1582281,628.471,0.168,0.217
INFY.BO,4.481,25.573729,-0.084,1555.2,1517.95,1497.65,1529,6022096,59,7.752124646,4249999872,1051000000,18552000512,10.871,4.481,-0.068,0.001
DMART.NS,749.054,114.93983,0.171,4163.1,4159.8,4151.15,4330.5,921402,37.39,5.18,37884751872,6303799808,4.87E+11,3.616,749.054,0.173,0.173
