Industry  Industry name,Variance  Full Year Net Profit Variance,Equity  Latest Equity,Face Value  Latest Face Value,Reserves  Total Reserve,Dividend  Full Year Dividend %,Sales Turnover  Full Year Net Sales,Net Profit  Full Year Net Profit,Full Year CPS  Full Year Cash Per Share,Earning Per Share  Full Year Earning Per Share,Quarter CPS  Latest quarter Cash Per Share,Latest Quarter Date  Latest Quarter Yrc,Latest Quarter Sales  Latest Quarter Net Sales,Previous EPS  Previous earnings per share,Book Value  Book value,Networth  Full Year Return on Networth,Price/Book Value  Price to Book value,Yearly PE ratio  Full Year Price to Earning per share,Yearly PC ratio  Full Year Price to Cash Per Share,Bse value  BSE Value in lakhs,Nse value  NSE Value in lakhs,High  52 week high,Low  52 week low,Price  NSE Current market price,CPM  Current market price,Market cap  BSE / NSE Market Cap,Net profit  Latest Quarter Net Profit,Net profit variance  Latest Quarter Net Profit variance,Result year  Trailing latest month,TTM Sales  Trailing Twelve 12 month Net Sales,TTM OP  Trailing Twelve 12 month Operating  Profit,TTM OPM  Trailing Twelve 12 month Operating  Profit  Margin,TTM GP  Trailing Twelve 12 month Gross  Profit,TTM GPM  Trailing Twelve 12 month Gross  Profit Margin,TTM NP  Trailing Twelve 12 month Net Profit,TTM NPV  Trailing Twelve 12 month Net Profit  Variane,TTM EPS  Trailing Twelve 12 month EPS,TTM PE  Trailing Twelve 12 month PE,TTM CPS  Trailing Twelve 12 month CPS,Month CPS  Month Cash Per Share,TTM Depreciation  Trailing Twelve 12 month  Depreciation,Equity  Latest Equity,LTP  Latest Price (BSE/NSE),Gross block  Latest Gross Block,Loans  Total loans,Advances  Latest Advances for Banks,Net profit asset  Latest Assets,Year OPM  Full Year Operating Profit Margin,Year GPM  Full Year Gross Profit Margin,Quarter OPM  Latest quater Operation Profit Margin,stock name
Mining & Mineral products,-5,17.64,5,179.49,0,483.53,22.97,10.4,6.5,0,1-Jun-21,117.48,0,55.9,13.61,0.948122,8.1,5.1,6.98,28.86,75,25,54,53,188.25,5.79,205,1-Jun-21,448.25,46.91,10.47,51.58,9.61,17.72,177.45,7.94,6.72,0,0,13.41,17.64,53,319.39,39.07,0,0,12.1,7.4,12.6,20MICRONS
Finance,-440,10.5,10,6.3,0,-30.77,-32.08,-30.5,-30.6,0,1-Dec-20,6.37,0,16,0,0.9375,-0.5,-0.5,0.03,0.37,16,10,14,15,15.51,5.95,369,1-Dec-20,-26.75,-28.76,107.53,-19.66,105.31,-28.08,-2531.83,0,0,0,0,0.11,10.5,15,2.18,8,0,0,107,103.5,91.4,21STCENMGM
Trading,-50,11.27,10,1899.06,0,2604.83,161.25,198,143.1,0,1-Jun-21,743.87,0,1695.1,8.87,14.459914,171.3,123.8,25.7,1078.29,30975,18000,24537,24511,27623.73,30.1,171,1-Jun-21,2454.71,239.25,9.75,379.86,12.65,164.55,23.99,208.51,117.55,0,0,62.33,11.27,24511,488.16,23.13,0,0,10,10.8,6.4,3MINDIA
Finance,-107,3.6,2,43.02,0,1.41,-0.14,0,-0.1,0,1-Jun-21,0.37,0,25.9,-0.37,0.540541,-185.3,-1647.1,0.02,0.96,19,6,14,14,25.2,0.09,178,1-Jun-21,1.66,0.54,32.84,0.28,19.66,3.71,-102.02,0,0,0,0,0.14,3.6,14,0.98,0,0,0,15,14.9,47.2,3PLAND
Finance,286,29.41,10,317.61,0,194.55,14.68,6.6,5,0,1-Jun-21,60.09,0,118,8.55,4.008475,94.7,72.1,2.64,83.59,577,238,471,473,1390.69,7.2,156,1-Jun-21,156.95,26.64,16.97,30.59,14.46,1.78,517.5,6.49,72.86,0,0,4.6,29.41,473,12.87,0,0,0,23.1,12.6,24.4,5PAISA
IT - Software,70,9.22,2,3045.83,100,160.22,-15.96,0.7,-3.5,0,1-Jun-21,38.13,0,663,-0.52,0.146305,-28,146.7,25.86,133.57,115,65,97,97,445.35,-9.94,-155,1-Jun-21,155.46,-161.53,-103.9,-51.59,-32.11,-33.21,49.55,0,0,0,0,22.62,9.22,97,622.61,0,0,0,-83.4,-26.7,-67.8,63MOONS
Capital Goods-Non Electrical Equipment,43,176.12,10,161.67,0,414.91,-81.21,-4.1,-4.6,0,1-Jun-21,72.83,0,19.2,0,0.208333,-0.9,-1,1.86,13.79,7,3,4,4,77.14,-7.2,49,1-Jun-21,472.93,-262.7,-55.55,-58.84,-14.17,-128.35,51.03,0,0,0,0,11.39,176.12,4,337.85,16.22,0,0,-8.2,-16.4,-0.4,A2ZINFRA
Oil Drill/Allied,-20,10.13,10,31.34,0,59.77,4.12,9.9,4.1,7.4,1-Jun-21,15.51,0,40.9,13.84,6.992665,69.9,28.9,0,413.81,295,48,286,0,290.03,1.57,107,1-Jun-21,62.75,13.47,21.47,12.47,19.87,4.93,-6,4.87,58.77,0,0,5.9,10.13,286,74.43,10.79,0,0,21.3,19.2,25,AAKASH
Capital Goods-Non Electrical Equipment,36,10.04,10,2.13,0,24.92,1.93,2.6,1.9,1,1-Jun-21,5.84,0,12.1,14.12,8.429752,53.7,40,0,5.95,136,27,102,0,102.45,0.37,0,1-Jun-21,27.46,4.23,15.4,3.85,14.02,2.51,0,2.5,40.8,0,0,0.69,10.04,102,9.29,0.06,0,0,13.7,12.4,15.4,AARON
Pharmaceuticals,103,92.6,10,820.22,25,2154.78,280.24,35.7,30.3,0,1-Jun-21,579.95,0,98.6,35.81,6.298174,20.5,17.4,186.02,797.85,1025,580,621,621,5749.07,48.81,-43,1-Jun-21,2045.93,385.31,18.83,367.33,16.77,243.84,21.27,26.31,23.6,0,0,49.79,92.6,621,1101.02,115.96,0,0,20.3,19.4,13.7,AARTIDRUGS
Chemicals,-1,181.25,5,4521.14,90,4506.1,523.47,20.8,14.4,0,1-Jun-21,1316.76,0,129.7,19.5,7.039322,63.2,43.8,252.28,6722.54,987,484,913,913,33112.93,164.86,101,1-Jun-21,4404.6,909.42,20.65,1014.54,20.77,472.29,26.45,16.73,54.6,0,0,203.33,181.25,913,3837.04,24.6,0,0,21.8,19.9,23.8,AARTIIND
Textiles,-3785,23.46,10,207.53,0,564.68,-40.12,-0.8,-17.1,0,1-Mar-20,116.94,0,98.5,-16.63,0.192893,-1.1,-25.3,2.19,1.65,30,10,19,19,43.52,7.88,1894,1-Mar-20,564.68,-1.73,-0.31,-17.17,-3.04,-40.12,-3784.57,0,0,0,0,38.35,23.46,19,462.21,111.59,0,0,6,-3,15,AARVEEDEN
Capital Goods - Electrical Equipment,-49,42.38,2,3564,250,5820.95,174.86,13.9,8.3,0,1-Jun-21,1412.9,0,170.2,4.91,10.857814,222.7,132.7,104.78,3757.19,1934,849,1849,1848,39168.08,70.26,371,1-Jun-21,6376.95,456.01,7.15,517.44,8.11,290.82,46,13.72,134.65,0,0,122.05,42.38,1848,1129.63,0,0,0,4.7,6.1,6.7,ABB
Finance,22,2415.87,10,11325.92,0,19259.72,1126.44,5.1,4.7,0,1-Jun-21,4298.99,0,56.9,8.4,1.862917,22.7,20.6,284.17,2550.91,140,58,106,106,25620.34,302.03,52,1-Jun-21,17787.71,5316.15,29.89,1775.05,9.1,862.08,44.13,5.09,20.83,0,0,109.9,2415.87,106,1840.27,6749.54,0,0,27.5,8.6,27.9,ABCAPITAL
Retail,-331,937.31,10,1833.2,0,5248.92,-674.96,3.1,-7.2,0,1-Jun-21,811.95,0,29.6,0,7.398649,-30.4,71.3,355.3,7705.42,234,120,219,219,20564.55,-347.14,15,1-Jun-21,5765.77,190.52,3.3,202.94,3.54,-778,-3.24,0,0,0,0,936.67,937.31,219,7600.06,3567.42,0,0,11.1,2.4,-20.8,ABFRL
Infrastructure Developers & Operators,-45,3.47,10,16.58,0,39.06,0.96,4.3,2.8,0,,0,0.7,57.8,4.93,0.346021,7.1,4.6,0,0.4,27,14,20,0,6.94,0.26,-81,1-Mar-21,39.06,2.44,6.3,1.86,4.8,0.96,-45,2.8,7.1,0,0,0.54,3.47,20,6.23,2.95,0,0,6.3,4.8,0,ACCORD
Logistics,127,15.06,10,66.78,0,365.23,8.62,13.9,5.7,11.8,1-Jun-21,158.68,0,54.3,5.42,2.633518,25,10.2,0,1504.76,149,26,143,0,214.85,5.42,999,1-Jun-21,484.25,38.08,7.86,31.85,6.58,13.93,0,9.25,15.46,0,0,12.32,15.06,143,96.23,0.29,0,0,8,6.7,8,ACCURACY
Capital Goods-Non Electrical Equipment,47,22.7,2,500.58,25,1227.15,75.86,7.9,6.7,0,1-Jun-21,321.5,0,46.1,16.52,5.16269,35.6,30.1,247.26,1757.72,272,59,238,238,2697.5,19.31,550,1-Jun-21,964.03,73.75,7.65,152.91,10.56,36.65,184.43,9.11,26.09,0,0,13.88,22.7,238,563.46,0.22,0,0,9.7,9.9,9.4,ACE
Trading,15,109.98,1,17048.59,100,39537.13,1097.17,14.9,10,0,1-Jun-21,12578.77,0,156,5.4,10.038462,157,105.4,971.46,26411.81,1718,257,1566,1566,172175.27,271.46,811,1-Jun-21,38768.61,1964.44,5.07,2140.67,4.57,879.63,93.52,12.26,127.69,0,0,510.99,109.98,1566,13034.52,6608.07,0,0,5.7,4.1,6.3,ADANIENT
