Industry  Industry name,Variance  Full Year Net Profit Variance,Equity  Latest Equity,Face Value  Latest Face Value,Reserves  Total Reserve,Dividend  Full Year Dividend %,Sales Turnover  Full Year Net Sales,Net Profit  Full Year Net Profit,Full Year CPS  Full Year Cash Per Share,Earning Per Share  Full Year Earning Per Share,Latest Quarter Date  Latest Quarter Yrc,Latest Quarter Sales  Latest Quarter Net Sales,Book Value  Book value,Networth  Full Year Return on Networth,Price/Book Value  Price to Book value,Yearly PE ratio  Full Year Price to Earning per share,Yearly PC ratio  Full Year Price to Cash Per Share,Bse value  BSE Value in lakhs,Nse value  NSE Value in lakhs,High  52 week high,Low  52 week low,Price  NSE Current market price,CPM  Current market price,Market cap  BSE / NSE Market Cap,Net profit  Latest Quarter Net Profit,Net profit variance  Latest Quarter Net Profit variance,Result year  Trailing latest month,TTM Sales  Trailing Twelve 12 month Net Sales,TTM OP  Trailing Twelve 12 month Operating  Profit,TTM OPM  Trailing Twelve 12 month Operating  Profit  Margin,TTM GP  Trailing Twelve 12 month Gross  Profit,TTM GPM  Trailing Twelve 12 month Gross  Profit Margin,TTM NP  Trailing Twelve 12 month Net Profit,TTM NPV  Trailing Twelve 12 month Net Profit  Variane,TTM EPS  Trailing Twelve 12 month EPS,TTM PE  Trailing Twelve 12 month PE,TTM Depreciation  Trailing Twelve 12 month  Depreciation,Equity  Latest Equity.1,LTP  Latest Price (BSE/NSE),Gross block  Latest Gross Block,Loans  Total loans,Year OPM  Full Year Operating Profit Margin,Year GPM  Full Year Gross Profit Margin,Quarter OPM  Latest quater Operation Profit Margin,stock name
Finance,1.0,0.17423165608515748,0.42857142857142855,0.19016353867623753,0.0,0.018891387878228517,0.015142913178566636,0.06232294617563739,0.06422607578676943,1-Jun-21,0.02349560117302053,0.2197678771995507,0.3091406677613574,0.33588952430288593,1.0,1.0,0.004988567865308668,0.013391144286816236,0.24348930764344698,0.2510548523206751,0.2341803687095167,0.24577812418810083,0.04595972618463407,0.025913561310114592,0.24092664092664093,1-Jun-21,0.016539585672577323,0.017215196417378044,0.3950646024909789,0.015238389383440515,0.30616133813254287,0.0023298429319371728,1.0,0.06555224483611939,1.0,0.01794841780795193,0.17423165608515748,0.23459244532803178,0.002739936004291927,0.02457428731001866,0.4876404494382023,0.25892857142857145,0.4826904055390702,5PAISA
Capital Goods-Non Electrical Equipment,0.14285714285714285,0.05186518841403708,0.42857142857142855,0.14315166425880074,0.0,0.00241133580425627,0.0019818945673379645,0.024551463644948063,0.024405908798972385,1-Jun-21,0.0022834799608993156,0.021527517783601645,0.43108921729611377,0.7212117166165516,0.7271496276235614,0.6825938566552902,0.0,0.0009531918711156431,0.056743595172559814,0.028481012658227847,0.050323866467364226,0.0,0.0030994701689304404,0.0012631958855905442,0.0,1-Jun-21,0.0028937688599488588,0.0027334940257323246,0.3585147247119078,0.0019178750940256942,0.2968452254922718,0.0032853403141361254,0.0,0.02525124993687188,0.6862910008410429,0.0026922626711927897,0.05186518841403708,0.05019880715705765,0.0019777782035642582,0.024716884721875634,0.27640449438202247,0.25446428571428575,0.304648862512364,AARON
Finance,0.0873015873015873,1.0,0.42857142857142855,1.0,0.0,1.0000000000000002,1.0,0.04815864022662889,0.06037251123956327,1-Jun-21,1.0,0.1053912392362411,0.3058565955117679,0.14890031003376786,0.3073798239675017,0.3515358361774744,0.5369702008654409,0.40865658419287476,0.058437433834427274,0.06118143459915611,0.052316890881913304,0.05507924136139258,0.8520897968010513,1.0,0.08030888030888031,1-Jun-21,1.0,1.0,0.695844488418112,0.8842400482208593,0.19267414778742323,1.0,0.10888768258981447,0.05141154487147114,0.3503784693019344,0.42881111241172115,1.0,0.05218687872763419,0.39178104356008586,1.0,0.5865168539325842,0.16964285714285712,0.5519287833827894,ABCAPITAL
Logistics,0.503968253968254,0.08357812944186488,0.42857142857142855,0.15278561151722375,0.0,0.0354734505321552,0.008887558450406185,0.13125590179414542,0.07321772639691716,1-Jun-21,0.062044965786901274,0.10052414825907899,0.24061302681992336,0.21605956441188146,0.3385240352064997,0.17406143344709896,0.0,0.2410630252067185,0.06224857082362906,0.02742616033755274,0.07075236671649228,0.0,0.0068390627729212235,0.019489307949111252,1.0,1-Jun-21,0.051030865638391654,0.024607908392408253,0.18298219066464907,0.015866057596030745,0.13931822993859833,0.018232984293193717,0.0,0.09342962476642595,0.26005046257359127,0.04807054508564517,0.08357812944186488,0.07057654075546718,0.020486716526263573,0.02526350813399404,0.14831460674157304,0.12723214285714285,0.15825914935707222,ACCURACY
Capital Goods-Non Electrical Equipment,0.1865079365079365,0.13184244606588966,0.047619047619047616,0.2174291740957836,0.0588235294117647,0.11921150679341888,0.07829515777738782,0.07459867799811143,0.08606294155427105,1-Jun-21,0.12570869990224828,0.08517409210033695,0.4836343732895456,0.43648142438092163,0.4820582261340556,0.5136518771331059,0.46722473120311403,0.2815872967558635,0.11433410967605336,0.06223628691983122,0.11808669656203288,0.12366848532086257,0.08943781346952016,0.06962013895154741,0.8494208494208494,1-Jun-21,0.10159067713242892,0.047658436027838987,0.17809335350948668,0.07617202094219971,0.22358670336650432,0.04797120418848168,0.4550681010659298,0.09201555476996112,0.4388561816652649,0.05415739982051583,0.13184244606588966,0.11779324055666002,0.11995682525084145,0.025097144486827566,0.18651685393258427,0.1986607142857143,0.18595450049455986,ACE
Trading,0.05952380952380952,0.6832180422628638,0.0,1.0,0.2352941176470588,1.0000000000000002,1.0,0.14069877242681775,0.12845215157353887,1-Jun-21,1.0,0.2909022837888431,0.2401751505199781,0.861413668223953,1.0,1.0,1.0,0.9999999999999999,0.7266567859411391,0.2710970464135021,0.7797708021923268,0.813717848791894,1.0,0.9796625462419922,1.0,1-Jun-21,1.0,1.0,0.11803049703177745,1.0,0.09676053355917849,1.0,0.230754046585077,0.12383212969041969,1.0,1.0,0.6832180422628638,0.7778330019880715,1.0,1.0,0.09662921348314607,0.06919642857142856,0.12462908011869438,ADANIENT
Power Generation & Distribution,0.2579365079365079,1.0,0.42857142857142855,0.03807532658932189,0.0,0.3034960483044385,0.3042001713513011,0.04721435316336166,0.024405908798972385,1-Jun-21,0.37927663734115347,0.009172594533882441,0.3386973180076628,1.0000000000000002,1.0,1.0,0.24408079968254565,0.9999999999999999,0.5894558543298751,0.44409282700421937,0.5381165919282511,0.5611847233047546,1.0,0.5480465577912118,0.1667953667953668,1-Jun-21,0.26542478387624874,0.9661253529955346,1.0,0.46200863791016367,0.6002540757992801,0.20532722513089008,0.09699467035136204,0.02151406494621484,0.0,1.0,1.0,0.5362823061630219,1.0,1.0,1.0,0.45758928571428575,1.0,ADANIGREEN
Infrastructure Developers & Operators,0.12301587301587301,1.0,0.047619047619047616,1.0,0.588235294117647,1.0000000000000002,1.0,0.32861189801699714,0.31470777135517025,1-Jun-21,1.0,0.28547360539123917,0.5173508483853311,0.41632556909681295,0.4170616113744076,0.3703071672354949,1.0,0.9999999999999999,0.380690239254711,0.3291139240506329,0.3756851021425012,0.39230969082878675,1.0,1.0,0.11119691119691119,1-Jun-21,1.0,1.0,1.0,1.0,1.0,1.0,0.14417193051717334,0.2742285743144286,0.4677880571909167,1.0,1.0,0.3747514910536779,1.0,1.0,1.0,1.0,0.9693372898120673,ADANIPORTS
Power Generation & Distribution,0.25396825396825395,1.0,0.42857142857142855,0.8863946759216141,0.0,0.9643623610105848,1.0,0.21907459867799808,0.14258188824662815,1-Jun-21,1.0,0.10258330213403219,0.44619594964422543,1.0000000000000002,1.0,1.0,0.6388957124770884,0.9999999999999999,0.7397840355706119,0.24472573839662445,0.8719481813652217,0.9072486360093531,1.0,1.0,0.021621621621621623,1-Jun-21,1.0,1.0,0.9391223373297638,1.0,0.6102053779377514,1.0,0.0984751283063561,0.1171657997070855,1.0,1.0,1.0,0.8672962226640158,1.0,1.0,0.8629213483146067,0.640625,0.9713155291790307,ADANITRANS
FMCG,0.05952380952380952,0.1149120313339019,0.42857142857142855,0.17792328457249637,0.07058823529411765,0.035870806029311045,0.05129184429740807,0.26251180358829085,0.3185613359023764,1-Jun-21,0.033700879765395896,0.23773867465368773,0.5806239737274219,0.5828095365668855,0.47664184157075157,0.5358361774744027,0.12104835509533077,0.058295292433659045,0.4433622697438069,0.3512658227848101,0.43348281016442447,0.45362431800467656,0.05786354146739086,0.04013353785076243,0.044787644787644784,1-Jun-21,0.03354495642749165,0.03309272554556793,0.37457804679315565,0.037670055742915064,0.419436798644929,0.059502617801047125,0.061735096723253065,0.2651381243371547,0.5596299411269975,0.023918217644075073,0.1149120313339019,0.43339960238568587,0.024391178555689674,0.02457428731001866,0.3797752808988764,0.4174107142857143,0.28486646884273,ADFFOODS
